JobId,Responsibilities,POSITION,Skills
1316,<p>Leading Sports Entertainment company looking for a Fullstack .NET and React developer to join their team.</p>,.NET Developer,".net, c#, react.js"
2846,"Company located in Malta is hiring a .NET Developer!! 
 
 Requirements: 
 - 3+yrs of professional experience 
 - Main Stack: .Net 
 - Experience with SQL Databases (ie. SQL Server) 
 - Great communication skills 
 - BSc degree in IT related courses 
 
 Great plus: if you have some experience in JavaScript, HTML, CSS, VueJS and/or have a MCSA - good job!! 
 
 - Candidates with verified English as ""Advanced"" or ""Fluent"" will be considered 
 - Candidates with 70% score on our HackerRank test will be considered 
 
 If you got a friend who is a good fit for this role and it's not a VanHacker yet, you can recommend him/her to us!! And if your recommendation is hired, you'll receive $150CAD from VanHack!! 
 Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral",.NET Developer,".net, azure, c#, css, html, javascript, mcsa, sql server, vue.js"
1318,"<p>Design and develop a robust Akamai solution for Digital web properties.&nbsp;<br>
<br>
Technologies include: Akamai NetStorage; AWS; Azure Gateways; NGINX; Apache; TeamSite/LiveSite; Cassandra; AngularJS and much more.</p>
<ul>
  <li>Implement and maintain Akamai website/application delivery configurations and Akamai NetStorage, including custom caching, routing, web performance and custom rules/modules.</li>
  <li>Akamai Delivery Configurations include modules like: Adaptive Image Compression, Content Targeting/EdgeScape, Device Characterization, Edge Redirector Cloudlet, Enhanced Secure Delivery, Forward Rewrite Cloudlet, Front End Optimization, HTTP/2, Image Manager, Mobile Detection &amp; Redirect, Real User Monitoring, Site Failover, SiteShield, Variable Support, Visitor Prioritization Cloudlet, Web Application Firewall (WAF), and more.</li>
  <li>Launch new pages, sites, and platforms using Akamai technologies to reduce load on the origin servers and reduce incidents.</li>
  <li>Akamai technologies include: Akamai Cloudlets Policy Manager, including Edge Redirector, Forward Rewrites and Visitor Prioritization waiting rooms.</li>
  <li>Akamai DNS based products and SSL certificates are essential networking products that must be maintained for all web infrastructure and provide critical routing of user traffic.</li>
  <li>Akamai Global Traffic Manager (GTM) and Application Loader Balancer (ALB) configurations are critical for multiple data centers, disaster recovery and migrations.</li>
  <li>Akamai Fast DNS, along with traditional DNS infrastructure to provide highly-available solutions for all our DNS hosting.</li>
  <li>Akamai Certificate Provisioning System for all our Akamai managed SSL Certs.</li>
  <li>Use various Akamai technologies and techniques to improve web page performance and site off-load.</li>
  <li>Web performance optimization tools like Image Manager (IM), Dynamic Page Caching (DPC) and Front End Optimization modules.</li>
  <li>Akamai security products are currently being implemented on all our sites and we need to work closely with stakeholders, security teams, Akamai Pro Services and resolve incidents with support teams.</li>
  <li>Security products include: Site Shield, Kona Site Defender, Web Application Firewall (WAF), Prolexic, BOT Manager, and Security Monitor.</li>
  <li>Akamai Administration is important to support multiple teams BAU activities and constant monitoring of various systems to insure stability of our vital infrastructure.</li>
  <li>Akamai reporting, including traffic, user/origin performance, media, and billing center.</li>
  <li>Manage Akamai Users &amp; Groups, CP Codes, API Delivery, NetStorage account administration.</li>
</ul>",Akamai Developer,"akamai, angular, apache, aws, azure, cassandra"
1483,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>,Android Developer,"android, fintech"
1622,"<p>Android Developer</p>
<p>Permanent employee</p>
<p>Bamberg</p>
<p>Full time</p>
<p><br></p>
<p>RESPONSIBLITIES</p>
<p>• Conception, development and support of a high-performance and secure Android app in the</p>
<p>IoT area</p>
<p>• Conception and development of automated builds and deployments</p>
<p>• Cooperation in designing the app</p>
<p>• Implementation of the mobile app design</p>
<p><br></p>
<p>WHAT WE ARE LOOKING FOR</p>
<p>• very good Java and Kotlin skills</p>
<p>• good experience in the development of resource-efficient apps</p>
<p>• profound experience with the use of REST APIs</p>
<p>• good experience with automated builds and deployments</p>
<p>• readable and maintainable code (compliance with clean-code principles)</p>
<p>• Experience in the development of SDKs</p>
<p>• experience in ReactNative</p>
<p><br></p>
<p>DESIRABLE SKILLS</p>
<p>• experience of design and usability</p>
<p><br></p>
<p>Required English Level: Fluent/Advanced</p>
<p><br></p>
<p>Code Verification Completion is mandatory.</p>
<p><br></p>
<p>Observation: If you have a friend or colleague who is a good fit for this role and is not on VanHack yet, recommend him/her to us. If your recommendation is hired, you'll receive $150 CAD from VanHack. Use this link to get your personal referral link: https://app.vanhack.com/New/#/referral &nbsp;</p>",Android Developer,"android, java, kotlin, react native, rest api"
1734,"<p>We are looking for an Android Developer with a minimum of 3 years experience.</p>
<p>Who is working with Java, Kotlin and SDK.</p>
<p>Knowledge and experience in creating frameworks on Android.&nbsp;</p>
<ul>
  <li>Advanced or Fluent English is required.</li>
</ul>
<p>Candidates with a test completed in Kotlin and has a score higher than 75% will be considered.</p>
<p><em><strong>Observation:&nbsp;</strong></em></p>
<ul>
  <li><em><strong>If you've got a friend who is a good fit for this role and it's a not VanHacker yet, recommend him/her to us. If your recommendation is hired, you'll receive $150 CAD from VanHack.</strong></em></li>
</ul>
<p><em><strong>Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral&nbsp;</strong></em></p>",Android Developer,"android, java sdk 1.5 1.6 1.7 and 1.8, kotlin"
1811,"<p>We are looking for an Android Developer who has over 3 years of experience</p>
<p><br></p>
<p>Working with:</p>
<p>-Java</p>
<p>-SDK</p>
<p>-Kotlin</p>
<p><br></p>
<p>&nbsp;</p>
<p>Candidates with a higher score than 75% in Kotlin for HackerRank test will be considered</p>
<p>Candidates with Advanced and Fluent English will be considered.</p>
<p><br></p>
<p>&nbsp;</p>
<p><em><strong>Observation:&nbsp;</strong></em></p>
<p><em><strong>If you've got a friend who is a good fit for this role and it's a not VanHacker yet, recommend him/her to us. If your recommendation is hired, you'll receive $150 CAD from VanHack.</strong></em></p>
<p><em><strong>Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral&nbsp;</strong></em></p>",Android Developer,"android, java, java sdk 1.5 1.6 1.7 and 1.8, kotlin, visual studio sdk"
1772,"Must-have skills:  
 - 4+ years of experience in software development 
 - Proficiency in Python 
 - Good understanding of Django and Django REST 
 - Experience with SQL and NoSQL databases 
 - Knowledge of common back-end services or tools such as Redis, Celery, etc. 
 
  Nice to have:  
 - Experience with AWS 
 - Strong Computer Science fundamentals 
 - Financial service experience 
  
  IMPORTANT  
 - Candidates that scored 70% or more in the related code challenges (Python and Django) will be considered 
 - Candidates with verified English as ""Advanced"" or ""Fluent"" will be considered 
 
 If you got a friend who is a good fit for this role and it's not a VanHacker yet, you can recommend him/her to us!! And if your recommentation is hired, you'll receive $150CAD from VanHack!!! 
 
 Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral",Back End (Python) Developer,"aws, celery, django, django rest, nosql, python, redis, sql"
1444,"<p>Toronto based company looks for a Back End Developer &nbsp;&nbsp;</p>
<p>- Experience with RestAPI &nbsp;</p>
<p>- Hands on experience using: Java, Python, Ruby, JavaScript and/or .Net &nbsp;</p>
<p>- SQL Databases: PostgresSQL, SQL Server, Oracle and etc &nbsp;</p>
<p>- NoSQL Databases are a plus!</p>
<p><br></p>
<p><strong>- Candidates with verified English as ""Advanced"" or ""Fluent"" will be considered</strong></p>
<p><strong>- Candidates with 70% score on our HR test will be considered</strong></p>
<p><br></p>
<p><strong>If you got a friend who is a good fit for this role and it's not a VanHacker yet, you can recommend him/her to us!! And if your recommentation is hired, you'll receive $150CAD from VanHack!!</strong></p>
<p><strong>Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral</strong></p>",Back End Software Developer,"any programmer language, mysql, nosql, oriented object, postgresql, rest api"
1561,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>,Backend Developer,backend development
1704,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>,Backend Developer,"django, python"
1368,"<p><br></p>
<p><strong>SEE THE FULL JOB DESCRIPTION GUIDE HERE: https://bit.ly/2T7eUcd</strong></p>
<p><br></p>
<p>Looking for an experienced Senior .NET Application Developer who can create the client-side code behind our award-winning Sensei platform</p>
<p><br></p>
<p><strong>Responsibilities:</strong></p>
<ul>
  <li>End-to-end development of software systems from architecture and design through development to deployments and maintenance.</li>
  <li>Provides input to the technology leadership, project management and account teams to define deliverables and timelines.</li>
  <li>Experiment with and evaluate new technologies.&nbsp;</li>
</ul>
<p><br></p>
<p><strong>Qualifications:</strong></p>
<ul>
  <li>4+ years experience with web frameworks such as ASP.NET MVC, PHP, Sails, or Ruby on Rails (we mostly work in .NET developing in a Rails or MVC like framework).</li>
  <li>4+ years experience with databases and database applications (we mostly use SQL Server).</li>
  <li>Solid understanding of programming fundamentals and development process and strategies (ie: software development models, TDD, unit tests, domain driven design, etc.).</li>
  <li>Analytic, problem-solving, and conceptual skills.</li>
  <li>Team orientation and sparkling interpersonal skills.</li>
  <li>Ability to work in a detail-oriented fashion without losing sight of the overall picture.</li>
  <li>Excellent verbal and written communication skills.</li>
</ul>
<p><br></p>
<p><strong>Bonus Points:</strong></p>
<ul>
  <li>Postsecondary education in Computer Science, Engineering, the Sciences or Mathematics.</li>
  <li>Understanding of node.js, grunt, yeoman and other modern javascript technologies.</li>
  <li>Experience with continuous deployment tools.</li>
</ul>
<p><br></p>
<p><strong>Self-Check:</strong></p>
<p>We expect all of our developers to be exceptionally proficient at coding. As a self check, you should be able to do the following two questions in your sleep using your favourite programming language.</p>
<ul>
  <li>Reverse a simple words-only sentence (""bob likes dogs"" -&gt; ""dogs likes bob"")</li>
  <li>Join two tables on a field using SQL&nbsp;</li>
</ul>",Back-End Developer,".net, c#, java"
1377,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>,Backend Engineer,"java, laravel, php, python, ruby on rails"
1563,<p>The best company for Talent Management and Assessment Decisions.</p>,C# .NET Developer,".net, c#, javascript"
1762,<p>Intermediate / Senior .NET developers needed for a top Fintech in Toronto.&nbsp;</p>,C# .NET Developer,".net, bootstrap, c#, css, sql, typescript"
1246,"<p>Mandatory a Degree in Computer Science, Mathematics, Engineering or ICT.</p>
<p>At least 3 years of experience working with C++ Development and Testing.</p>
<p>C++11, C++14, C++17 Skills.</p>
<p>QA Testing.</p>",C++ Developer,"agile, boost c++ libraries, c++, linux, programmer c++, qa, scrum, tdd, visual c++, windows"
1545,"<ul>
  <li>Bachelor’s degree or equivalent professional experience</li>
  <li>Minimum 3 years of related industry experience</li>
  <li>Strong background with C/C++/C# and Java</li>
  <li>Experience developing for Windows and Android</li>
  <li>Experience working with Unity is a bonus!</li>
  <li>Familiarity with and willingness to use agile development concepts</li>
  <li>Intermediate-level understand of Git and related concepts</li>
  <li>Experience with CI/CD is a benefit</li>
  <li>Self-motivated and driven to meet long term goals</li>
  <li>Ability to independently manage time to meet project deadlines</li>
  <li>Strong interpersonal skills and ability to work collaboratively with other team members</li>
  <li>Excellent written and verbal communication skills<br>
&nbsp;</li>
</ul>",C++ Software Developer,"android, c++, unity, windows"
1271,"<p>— 5+ years of experience in a web development environment.<br>
— Solid experience with Azure. AWS experience is a plus.<br>
— Experienced with Scrum sprints, rapid iteration, and continuous delivery.<br>
— Solid understanding of how the web works (HTTP, TCP/IP, DNS and what a good API looks like).<br>
— &nbsp;Strong knowledge of data modeling and storage with both SQL and NoSQL databases.&nbsp;</p>",Cloud Engineer,"automation, aws, azure, cloud computing, devops, java, nosql, python, scrum, sql"
1584,"<ul>
  <li>An undergraduate degree in Computer Science or equivalent from an accredited University.</li>
  <li>3+ years in Software Engineering.</li>
  <li>Experience with Spark, Hadoop, or other distributed processing technologies.</li>
  <li>Experience with noSQL databases such as HBase, Cassandra, Neo4J.</li>
  <li>&nbsp;Experience in various programming languages and systems: Scala, Python, Java.</li>
  <li>&nbsp;Experience or an understanding of Machine Learning frameworks.</li>
  <li>&nbsp;Experience with AWS tooling such as EC2, S3, EMR, RDS or other cloud computing toolkits</li>
  <li>Experience with deployment tooling such as Docker, Circle CI, Jenkins.</li>
  <li>Experience leading and mentoring team members would be a plus.</li>
  <li>Experience with Graph databases would be a plus.</li>
  <li>Experience with Machine learning frameworks beyond linear regression would be a plus.</li>
  <li>Experience in programmatic or digital advertising a plus.</li>
  <li>Experience in real-time data processing a plus.</li>
  <li>Experience in Blockchain, Ethereum, and related technologies a plus.&nbsp;</li>
</ul>",Data Engineer,"blockchain technologies, hadoop, spark"
1537,"<p>Our hiring partner, a platform for efficient property management, is looking for a Java Back-End Developer to join their team.</p>
<p>Possibly a degree in (business) computer science, software engineering or similar will be valued.&nbsp;</p>
<p>This position can be performed remotely.</p>
<p>Required English Level: Fluent/Advanced</p>
<p>Observation: If you have a friend or colleague who is a good fit for this role and is not on VanHack yet, recommend him/her to us. If your recommendation is hired, you'll receive $150 CAD from VanHack. Use this link to get your personal referral link: https://app.vanhack.com/New/#/referral&nbsp;</p>",Developer Java Back-End,"aws, azure, Big Data, docker, elasticsearch, german, google cloud, hibernate, java, java sdk 1.5 1.6 1.7 and 1.8, kubernetes, nosql databases, relational database, rest api, spring"
1539,"<p>Our hiring partner, a platform for efficient property management, is looking for a Front End Web Developer to join their team.</p>
<p>Required English Level: Fluent/Advanced</p>
<p>Completion of code verification challenge is required.</p>
<p>Observation: If you have a friend or colleague who is a good fit for this role and is not on VanHack yet, recommend him/her to us. If your recommendation is hired, you'll receive $150 CAD from VanHack. Use this link to get your personal referral link: https://app.vanhack.com/New/#/referral&nbsp;<br>
&nbsp;</p>",Developer Web Front End,"angular, aws, azure, css, docker, german, google cloud, html, javascript, kubernetes, less, oauth2, react.js, rest api, vue.js"
2871,"<p>- 4+ years of experience working in production systems, ideally as a DevOps</p>
<p>- Experience in Openstack cloud design and administration</p>
<p>- Solid experience automating processes/code in Python, Bash scripting, PowerShell, or another modern language.</p>
<p>- Experience creating and delivering Infrastructure as Code (IaC) through a CI/CD pipeline</p>
<p>- Ability to work with cross-functional teams.</p>
<p>- Consume or have literacy using source code and Binary repositories such as Git (Gerrit), Artifactory, ECR,</p>
<p>Jfrog.</p>
<p><br></p>
<p><strong>IMPORTANT</strong>&nbsp;</p>
<p>- Candidates that scored 70% or more in related code challenges (Python, DevOps or both) will be considered. &nbsp;&nbsp;&nbsp;&nbsp;</p>
<p>- Candidates with verified English as ""Advanced"" or ""Fluent"" will be considered.</p>
<p><br></p>
<p>If you got a friend who is a good fit for this role and it's not a VanHacker yet, you can recommend him/her to us!! And if your recommendation is hired, you'll receive $150CAD from VanHack!!!&nbsp;</p>
<p><br></p>
<p>Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral.&nbsp;</p>",DevOps/Openstack Engineer,"bash script, ci/cd automation, devops, openstack, powershell, python"
1124,"<p>About the hiring partner: Cryptocurrency company.</p>
<p>We are seeking for a Full Stack Developer oriented to Front End with 2-3 or more years of experience.</p>
<p>It will be a plus to have experience working in a small company and be able to adapt to changes.&nbsp;</p>
<p><br></p>",Front End Developer,"css, front end, react.js, redux, typescript"
1568,"<ul>
  <li>You’re smart, love building things, have a lot energy, and love a startup environment</li>
  <li>You have a Bachelor’s degree in computer science (or equivalent)</li>
  <li>You have at least 3 years experience as a web and software developer</li>
  <li>You have a passion for great user experiences on mobile and the web and want to work with a people that makes this a priority</li>
  <li>You want to play a lead role in building a beautiful application used by thousands of retailers</li>
</ul>
<h6>REQUIRED SKILLS FOR THIS FRONT END DEVELOPER</h6>
<ul>
  <li>You’ve used Javascript frameworks (Ember, Angular, React, etc) in a production environment</li>
  <li>You can model data in the blink of an eye</li>
  <li>You’ve worked with RESTful APIs</li>
  <li>You can use git (or other source control)</li>
  <li>You understand and use common design patterns</li>
  <li>You can mentor others&nbsp;</li>
</ul>",Front End Developer,"angular, ember.js, javascript"
1644,"<p>Front-end developer</p>
<p>-JavaScript</p>
<p>-ReactJS</p>",Front End Developer,"css, html, javascript, react.js"
1650,"<p><strong>What you will do:</strong><br>
You will be a front end developer working from scratch in projects to big and well known clients;<br>
<br>
The perfect candidate:<br>
- Is expected to have around 4 years of experience with front end;<br>
- Has strong experience building things from scratch;<br>
- Has strong experience with HTML5/CSS/SASS;<br>
- Has experience with Bootstrap;<br>
- Has some experience with Javascript (Angular/React/vue.js);<br>
- Has strong communication skills (with verified English classified as Advanced or Fluent);<br>
- Has a +70% score at VanHack's HTML/CSS challenge; <br>
<strong><br>
It will be considered a bonus if the candidate:</strong><br>
- Has experience with WordPress theming;<br>
- Has a bachelor's degree;<br>
- Has a +90% score at VanHack's HTML/CSS challenge; &nbsp;<br>
<br>
<strong>Important: candidates that apply for this position will be requested to share samples of live sites they have programmed.</strong><br>
<br>
<br>
<br>
If you have a friend who is a good fit for this role and it's a not a VanHacker yet, recommend this person to us.<br>
If your recommendation is hired, you'll receive $150 CAD from VanHack!<br>
Use this link to get your referral personal link: https://app.vanhack.com/New/#/referral</p>",Front End Developer (HTML/CSS),"bootstrap, html, javascript, sass, wordpress"
1167,"<p>A good FrontEnd Developer.</p>
<p>Very passionate about writing code and willing to learn new things all the time.</p><p>Any back-end experience is a BIG Plus.</p>","Front End Developer (m/f) ","css, docker, html, javascript, mongodb, node.js, react.js, rest api, single-­page applications, ui"
1500,"<p>Great company in Kamloops developing advanced telematics with integrated driver assistance technologies for commercial vehicle fleets.</p>
<p>Looking for a great FrontEnd Developer and bonus points if you understand or have worked in other areas as a business analyst, UX designer, or back-end developer!</p>
<p><strong>Required Skills</strong></p>
<ul>
  <li>Strong knowledge of JavaScript and modern application design principles</li>
  <li>Solid experience using frameworks –AngularJS and React</li>
  <li>HTML, CSS</li>
  <li>Node, Gulp, Grunt, Webpack</li>
  <li>Experience with Git</li>
  <li>5+ years of relevant experience</li>
</ul>",Frontend (Angular + React) Developer,"angular, javascript, node.js, react.js, ui, ux"
2943,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>,Full Stack .NET Developer,".net core, c#, javascript"
